 Wtype Chip HalfROC Channel ROCpin Cell TrLink TrCell iu iv trace t
 H 0 1 11 47 153 2 2 9 4 0.00 1
 H 0 1 12 48 176 2 2 10 5 0.00 1
 H 0 1 13 49 152 2 2 9 3 0.00 1
 H 0 1 14 50 198 2 2 11 5 0.00 1
 H 0 1 15 51 197 2 2 11 4 0.00 1
 H 0 1 16 52 174 2 2 10 3 0.00 1
 H 0 1 17 53 196 2 2 11 3 0.00 1
 H 0 1 18 CALIB1 151 -1 -1 9 2 0.00 0
 H 0 1 19 54 194 2 1 11 1 0.00 1
 H 0 1 20 55 171 2 1 10 0 0.00 1
 H 0 1 21 56 195 2 1 11 2 0.00 1
 H 0 1 22 57 193 2 1 11 0 0.00 1
 H 0 1 23 58 173 2 1 10 2 0.00 1
 H 0 1 24 59 172 2 1 10 1 0.00 1
 H 0 1 25 60 150 2 1 9 2 0.00 1
 H 0 1 26 61 149 2 1 9 1 0.00 1
 H 0 1 27 62 148 2 1 9 0 0.00 1
 H 0 1 28 63 109 2 3 7 0 0.00 1
 H 0 1 29 64 130 2 3 8 2 0.00 1
 H 0 1 30 65 111 2 3 7 2 0.00 1
 H 0 1 31 66 110 2 3 7 1 0.00 1
 H 0 1 32 67 92 2 3 6 1 0.00 1
 H 0 1 33 68 93 2 3 6 2 0.00 1
 H 0 1 34 69 91 2 3 6 0 0.00 1
 H 0 1 35 70 129 2 3 8 1 0.00 1
 H 0 1 36 71 128 2 3 8 0 0.00 1
 H 1 0 0 0 117 0 0 7 8 0.00 1
 H 1 0 1 1 136 0 0 8 8 0.00 1
 H 1 0 2 2 99 0 0 6 8 0.00 1
 H 1 0 3 3 98 0 0 6 7 0.00 1
 H 1 0 4 4 116 0 0 7 7 0.00 1
 H 1 0 5 5 97 0 0 6 6 0.00 1
 H 1 0 6 6 134 0 0 8 6 0.00 1
 H 1 0 7 7 135 0 0 8 7 0.00 1
 H 1 0 8 8 115 0 0 7 6 0.00 1
 H 1 0 9 9 177 0 2 10 6 0.00 1
 H 1 0 10 10 156 0 2 9 7 0.00 1
 H 1 0 11 11 155 0 2 9 6 0.00 1
 H 1 0 12 12 199 0 2 11 6 0.00 1
 H 1 0 13 13 157 0 2 9 8 0.00 1
 H 1 0 14 14 178 0 2 10 7 0.00 1
 H 1 0 15 15 200 0 2 11 7 0.00 1
 H 1 0 16 16 179 0 2 10 8 0.00 1
 H 1 0 17 17 201 0 2 11 8 0.00 1
 H 1 0 18 CALIB0 158 -1 -1 9 8 0.00 0
 H 1 0 19 18 202 0 1 11 9 0.00 1
 H 1 0 20 19 159 0 1 9 9 0.00 1
 H 1 0 21 20 203 0 1 11 10 0.00 1
 H 1 0 22 21 180 0 1 10 9 0.00 1
 H 1 0 23 22 204 0 1 11 11 0.00 1
 H 1 0 24 23 182 0 1 10 11 0.00 1
 H 1 0 25 24 181 0 1 10 10 0.00 1
 H 1 0 26 25 160 0 1 9 10 0.00 1
 H 1 0 27 26 161 0 1 9 11 0.00 1
 H 1 0 28 27 119 0 3 7 10 0.00 1
 H 1 0 29 28 139 0 3 8 11 0.00 1
 H 1 0 30 29 137 0 3 8 9 0.00 1
 H 1 0 31 30 138 0 3 8 10 0.00 1
 H 1 0 32 31 100 0 3 6 9 0.00 1
 H 1 0 33 32 101 0 3 6 10 0.00 1
 H 1 0 34 33 118 0 3 7 9 0.00 1
 H 1 0 35 34 120 0 3 7 11 0.00 1
 H 1 0 36 35 102 0 3 6 11 0.00 1
 H 1 1 0 36 63 2 0 4 6 0.00 1
 H 1 1 1 37 48 2 0 3 6 0.00 1
 H 1 1 2 38 50 2 0 3 8 0.00 1
 H 1 1 3 39 79 2 0 5 6 0.00 1
 H 1 1 4 40 80 2 0 5 7 0.00 1
 H 1 1 5 41 81 2 0 5 8 0.00 1
 H 1 1 6 42 49 2 0 3 7 0.00 1
 H 1 1 7 43 65 2 0 4 8 0.00 1
 H 1 1 8 44 64 2 0 4 7 0.00 1
 H 1 1 9 45 19 2 2 1 6 0.00 1
 H 1 1 10 46 33 2 2 2 6 0.00 1
 H 1 1 11 47 34 2 2 2 7 0.00 1
 H 1 1 12 48 7 2 2 0 6 0.00 1
 H 1 1 13 49 8 2 2 0 7 0.00 1
 H 1 1 14 50 20 2 2 1 7 0.00 1
 H 1 1 15 51 35 2 2 2 8 0.00 1
 H 1 1 16 52 21 2 2 1 8 0.00 1
 H 1 1 17 53 9 2 2 0 8 0.00 1
 H 1 1 18 CALIB1 37 -1 -1 2 9 0.00 0
 H 1 1 19 54 36 2 1 2 9 0.00 1
 H 1 1 20 55 11 2 1 0 10 0.00 1
 H 1 1 21 56 22 2 1 1 9 0.00 1
 H 1 1 22 57 10 2 1 0 9 0.00 1
 H 1 1 23 58 23 2 1 1 10 0.00 1
 H 1 1 24 59 24 2 1 1 11 0.00 1
 H 1 1 25 60 38 2 1 2 10 0.00 1
 H 1 1 26 61 39 2 1 2 11 0.00 1
 H 1 1 27 62 12 2 1 0 11 0.00 1
 H 1 1 28 63 51 2 3 3 9 0.00 1
 H 1 1 29 64 82 2 3 5 9 0.00 1
 H 1 1 30 65 66 2 3 4 9 0.00 1
 H 1 1 31 66 52 2 3 3 10 0.00 1
 H 1 1 32 67 53 2 3 3 11 0.00 1
 H 1 1 33 68 83 2 3 5 10 0.00 1
 H 1 1 34 69 68 2 3 4 11 0.00 1
 H 1 1 35 70 67 2 3 4 10 0.00 1
 H 1 1 36 71 84 2 3 5 11 0.00 1
 H 2 0 0 0 391 0 0 20 13 0.00 1
 H 2 0 1 1 390 0 0 20 12 0.00 1
 H 2 0 2 2 354 0 0 18 11 0.00 1
 H 2 0 3 3 372 0 0 19 12 0.00 1
 H 2 0 4 4 353 0 0 18 10 0.00 1
 H 2 0 5 5 370 0 0 19 10 0.00 1
 H 2 0 6 6 352 0 0 18 9 0.00 1
 H 2 0 7 7 389 0 0 20 11 0.00 1
 H 2 0 8 8 371 0 0 19 11 0.00 1
 H 2 0 9 9 350 0 2 18 7 0.00 1
 H 2 0 10 10 369 0 2 19 9 0.00 1
 H 2 0 11 11 351 0 2 18 8 0.00 1
 H 2 0 12 12 349 0 2 18 6 0.00 1
 H 2 0 13 13 386 0 2 20 9 0.00 1
 H 2 0 14 14 387 0 2 20 10 0.00 1
 H 2 0 15 15 368 0 2 19 8 0.00 1
 H 2 0 16 16 367 0 2 19 7 0.00 1
 H 2 0 17 17 385 0 2 20 8 0.00 1
 H 2 0 18 CALIB0 388 -1 -1 20 10 0.00 0
 H 2 0 19 18 402 0 1 21 9 0.00 1
 H 2 0 20 19 432 0 1 23 11 0.00 1
 H 2 0 21 20 418 0 1 22 10 0.00 1
 H 2 0 22 21 403 0 1 21 10 0.00 1
 H 2 0 23 22 419 0 1 22 11 0.00 1
 H 2 0 24 23 420 0 1 22 12 0.00 1
 H 2 0 25 24 433 0 1 23 12 0.00 1
 H 2 0 26 25 404 0 1 21 11 0.00 1
 H 2 0 27 26 434 0 1 23 13 0.00 1
 H 2 0 28 27 437 0 3 23 16 0.00 1
 H 2 0 29 28 406 0 3 21 13 0.00 1
 H 2 0 30 29 405 0 3 21 12 0.00 1
 H 2 0 31 30 421 0 3 22 13 0.00 1
 H 2 0 32 31 407 0 3 21 14 0.00 1
 H 2 0 33 32 422 0 3 22 14 0.00 1
 H 2 0 34 33 423 0 3 22 15 0.00 1
 H 2 0 35 34 435 0 3 23 14 0.00 1
 H 2 0 36 35 436 0 3 23 15 0.00 1
 H 2 1 0 36 373 2 0 19 13 0.00 1
 H 2 1 1 37 356 2 0 18 13 0.00 1
 H 2 1 2 38 355 2 0 18 12 0.00 1
 H 2 1 3 39 392 2 0 20 14 0.00 1
 H 2 1 4 40 374 2 0 19 14 0.00 1
 H 2 1 5 41 393 2 0 20 15 0.00 1
 H 2 1 6 42 375 2 0 19 15 0.00 1
 H 2 1 7 43 394 2 0 20 16 0.00 1
 H 2 1 8 44 357 2 0 18 14 0.00 1
 H 2 1 9 45 377 2 2 19 17 0.00 1
 H 2 1 10 46 358 2 2 18 15 0.00 1
 H 2 1 11 47 376 2 2 19 16 0.00 1
 H 2 1 12 48 359 2 2 18 16 0.00 1
 H 2 1 13 49 395 2 2 20 17 0.00 1
 H 2 1 14 50 360 2 2 18 17 0.00 1
 H 2 1 15 51 378 2 2 19 18 0.00 1
 H 2 1 16 52 396 2 2 20 18 0.00 1
 H 2 1 17 53 397 2 2 20 19 0.00 1
 H 2 1 18 CALIB1 412 -1 -1 21 18 0.00 0
 H 2 1 19 54 429 2 1 22 21 0.00 1
 H 2 1 20 55 442 2 1 23 21 0.00 1
 H 2 1 21 56 414 2 1 21 20 0.00 1
 H 2 1 22 57 443 2 1 23 22 0.00 1
 H 2 1 23 58 413 2 1 21 19 0.00 1
 H 2 1 24 59 428 2 1 22 20 0.00 1
 H 2 1 25 60 411 2 1 21 18 0.00 1
 H 2 1 26 61 427 2 1 22 19 0.00 1
 H 2 1 27 62 441 2 1 23 20 0.00 1
 H 2 1 28 63 439 2 3 23 18 0.00 1
 H 2 1 29 64 409 2 3 21 16 0.00 1
 H 2 1 30 65 410 2 3 21 17 0.00 1
 H 2 1 31 66 425 2 3 22 17 0.00 1
 H 2 1 32 67 424 2 3 22 16 0.00 1
 H 2 1 33 68 408 2 3 21 15 0.00 1
 H 2 1 34 69 438 2 3 23 17 0.00 1
 H 2 1 35 70 426 2 3 22 18 0.00 1
 H 2 1 36 71 440 2 3 23 19 0.00 1
 H 3 0 0 0 295 0 0 15 10 0.00 1
 H 3 0 1 1 296 0 0 15 11 0.00 1
 H 3 0 2 2 294 0 0 15 9 0.00 1
 H 3 0 3 3 316 0 0 16 10 0.00 1
 H 3 0 4 4 317 0 0 16 11 0.00 1
 H 3 0 5 5 336 0 0 17 11 0.00 1
 H 3 0 6 6 338 0 0 17 13 0.00 1
 H 3 0 7 7 318 0 0 16 12 0.00 1
 H 3 0 8 8 337 0 0 17 12 0.00 1
 H 3 0 9 9 341 0 2 17 16 0.00 1
 H 3 0 10 10 319 0 2 16 13 0.00 1
 H 3 0 11 11 339 0 2 17 14 0.00 1
 H 3 0 12 12 340 0 2 17 15 0.00 1
 H 3 0 13 13 297 0 2 15 12 0.00 1
 H 3 0 14 14 320 0 2 16 14 0.00 1
 H 3 0 15 15 321 0 2 16 15 0.00 1
 H 3 0 16 16 299 0 2 15 13 0.00 1
 H 3 0 17 17 300 0 2 15 14 0.00 1
 H 3 0 18 CALIB0 298 -1 -1 15 12 0.00 0
 H 3 0 19 18 277 0 1 14 13 0.00 1
 H 3 0 20 19 275 0 1 14 11 0.00 1
 H 3 0 21 20 252 0 1 13 12 0.00 1
 H 3 0 22 21 276 0 1 14 12 0.00 1
 H 3 0 23 22 228 0 1 12 11 0.00 1
 H 3 0 24 23 227 0 1 12 10 0.00 1
 H 3 0 25 24 251 0 1 13 11 0.00 1
 H 3 0 26 25 250 0 1 13 10 0.00 1
 H 3 0 27 26 226 0 1 12 9 0.00 1
 H 3 0 28 27 248 0 3 13 8 0.00 1
 H 3 0 29 28 225 0 3 12 8 0.00 1
 H 3 0 30 29 274 0 3 14 10 0.00 1
 H 3 0 31 30 249 0 3 13 9 0.00 1
 H 3 0 32 31 272 0 3 14 8 0.00 1
 H 3 0 33 32 247 0 3 13 7 0.00 1
 H 3 0 34 33 273 0 3 14 9 0.00 1
 H 3 0 35 34 224 0 3 12 7 0.00 1
 H 3 0 36 35 223 0 3 12 6 0.00 1
 H 3 1 0 36 334 2 0 17 9 0.00 1
 H 3 1 1 37 333 2 0 17 8 0.00 1
 H 3 1 2 38 291 2 0 15 6 0.00 1
 H 3 1 3 39 335 2 0 17 10 0.00 1
 H 3 1 4 40 315 2 0 16 9 0.00 1
 H 3 1 5 41 293 2 0 15 8 0.00 1
